3
1
10
1	1
58.1545705606	9.24916637421	0.0	0.710629832864
116.57300937	21.2179040047	54.9114106738	17.4561245243
145.511340995	29.554942594	109.822821348	25.6011594312
197.025336662	35.7603360267	164.734232021	29.5629171969
256.302051659	50.1442324991	219.645642695	31.4899223937
296.095852557	34.6298718414	274.557053369	32.4272207467
343.511222479	48.8499528159	329.468464043	32.8831241371
391.829489694	31.8268508629	384.379874716	33.1048762619
451.015852412	36.0015474806	439.29128539	33.2127368435
494.202696064	6.06060007324	494.202696064	33.2652003997
